id	time	latitude	longitude
22020	802706	50.943689	6.961834
22020	80288	50.931685	7.029926
22020	803281	50.997344	6.936473
22020	803306	51.021020	6.899841
22020	803424	50.909408	7.004408
22020	803552	50.991201	6.893374
22020	803670	50.940699	7.030768
22020	803756	50.928971	6.941712
22020	803832	50.926820	7.025307
22020	804001	50.896870	6.990423
22020	804093	50.947131	6.947325
22020	804174	50.966685	7.030931
22020	804231	50.961388	7.026962
22020	804335	50.940635	6.950284
22020	804347	50.887735	7.055317
22020	804433	50.881719	7.055601
22020	804763	50.904882	6.895709
22020	804855	50.948112	7.079976
22020	804932	51.050175	6.841185
22020	80524	50.984623	6.949040
22020	80530	50.953825	6.941303
22020	805421	50.992043	6.892264
22020	805435	50.915321	6.950718
22020	805515	50.958178	6.899094
22020	805581	50.905546	7.018039
22020	805997	50.959263	6.905896
22020	806134	50.954153	6.919144
22020	806407	50.929984	6.945464
22020	806474	50.950781	6.917236
22020	806505	50.958470	6.975088
22020	806583	50.920043	6.927410
22020	806605	51.002802	6.875201
22020	806618	50.937945	6.866266
22020	806633	50.883573	7.055724
22020	806768	50.887102	6.898403
22020	806974	50.887530	7.055697
22020	807395	50.908195	6.914615
22020	807824	51.060048	6.877648
22020	80785	50.929705	7.041871
22020	808353	50.940195	6.831347
22020	808389	50.937735	6.877178
22020	808474	50.978332	6.948649
22020	808527	50.973894	7.012676
22020	808591	50.893217	6.994922
22020	808863	50.890175	6.965905
22020	808873	50.968707	7.040751
22020	808942	50.968102	7.037844
22020	809001	50.920368	6.932638
22020	809350	50.966591	7.030415
22020	809380	50.926150	6.946459
22020	809446	50.878574	7.053571
22020	809492	50.954853	6.956823
22020	809560	50.912606	6.919414
22020	809639	51.043452	6.898497
22020	809696	50.958737	6.897725
22020	809834	50.937449	6.982541
22020	809908	50.937191	6.904848
22020	809928	50.933810	7.014870
22020	810059	50.953180	6.870914
22020	81008	51.016183	6.903330
22020	81077	50.936405	6.964332
22020	810886	50.937733	6.866548
22020	810919	50.878640	7.053611
22020	811130	50.982717	6.966214
22020	811262	50.999561	6.919740
22020	811376	50.881442	7.083067
22020	811513	50.858176	6.974765
22020	811528	50.964183	6.948525
22020	811552	50.896994	6.987143
22020	81177	50.968914	7.038995
22020	811773	50.937689	7.001400
22020	81188	50.905024	6.942535
22020	811970	50.957414	6.868950
22020	812292	50.878774	7.053692
22020	812434	50.895562	6.991925
22020	812706	50.940675	6.979802
22020	812957	50.930578	6.920463
22020	813059	50.998380	6.888312
22020	813083	50.961102	6.954177
22020	813121	50.933500	6.847808
22020	81317	50.964597	6.933661
22020	813798	50.932990	6.939768
22020	813861	51.064858	6.864716
22020	81412	50.923170	7.079472
22020	814197	50.897785	6.966296
22020	814244	50.885309	7.055738
22020	814341	50.926032	7.085616
22020	814371	50.957123	6.955895
22020	81455	50.943031	6.880126
22020	81458	50.967993	6.968842
22020	81475	50.916610	7.027790
22020	814976	50.949087	6.931249
22020	814998	50.953558	6.920806
22020	815014	50.961308	6.866928
22020	815335	50.894000	6.948406
22020	815679	50.887133	6.991139
22020	815784	50.968778	6.939945
22020	815796	50.974914	6.973502
22020	816228	50.927643	6.976146
22020	816323	50.930393	6.921117
22020	816843	50.922760	6.930896
22020	817060	50.956141	6.902662
22020	817119	50.879139	6.969059
22020	817137	50.977254	7.018471
22020	81728	50.946645	6.946124
22020	817374	50.929578	7.041148
22020	817581	51.065045	6.864593
22020	817725	50.950309	7.024850
22020	81777	50.951826	6.902834
22020	817809	50.929341	6.912985
22020	818339	50.911975	6.918917
22020	81843	50.958363	7.010113
22020	818546	50.907703	6.933820
22020	81861	50.967896	6.876984
22020	818677	50.971355	7.049908
22020	818817	50.976851	6.949303
22020	819201	50.919051	6.911383
22020	819399	50.938099	7.010200
22020	819472	50.932027	6.971393
22020	819587	50.941353	6.937047
22020	819869	50.996501	7.036652
22020	820138	50.922094	6.951711
22020	820463	50.864163	7.103087
22020	820485	50.923259	7.079047
22020	820599	50.897268	6.989733
22020	820624	50.881652	7.055597
22020	820637	50.936430	6.986397
22020	820665	50.999508	6.920159
22020	82071	50.865460	6.973808
22020	820716	50.964043	7.006693
22020	82090	50.904475	7.072537
22020	821124	50.941617	6.940254
22020	821317	50.917417	6.969775
22020	821519	50.893956	6.974909
22020	821636	50.929198	7.041413
22020	821681	50.916662	6.990522
22020	822238	50.880928	7.082633
22020	822547	50.930786	7.029024
22020	822621	50.902631	6.964975
22020	82267	50.921298	6.984056
22020	822701	50.963983	7.005404
22020	823181	50.883988	7.104909
22020	823301	50.892682	6.993702
22020	823340	50.936602	6.922949
22020	823379	50.935198	6.953155
22020	823727	50.985302	6.999474
22020	823780	50.856153	7.108786
22020	82449	50.955558	6.884196
22020	824518	50.895398	7.088362
22020	82462	50.929665	6.927435
22020	824872	50.920346	6.890847
22020	824877	50.931798	7.031038
22020	824944	50.863058	7.083869
22020	82510	50.940548	7.037272
22020	825119	50.939858	7.014464
22020	825265	50.937369	6.900250
22020	825803	50.918848	6.949800
22020	826058	51.002473	6.900107
22020	826071	50.942770	7.027886
22020	826440	50.940254	7.020814
22020	826524	51.038667	6.974386
22020	826687	50.930341	6.955062
22020	826730	50.921541	6.962096
22020	826838	50.889023	7.057724
22020	827108	50.936070	7.012628
22020	827372	50.938088	7.004440
22020	827383	50.961456	7.026962
22020	827399	50.931028	6.961716
22020	827474	50.954361	7.013824
22020	827654	50.935227	6.952288
22020	827955	51.062775	6.872574
22020	828427	51.007931	6.876717
22020	828568	50.892618	7.052678
22020	828606	50.964140	6.953908
22020	828645	50.896936	6.990334
22020	82867	50.908714	6.963236
22020	828780	50.968015	6.873436
22020	828892	50.956422	6.902955
22020	828961	50.958176	6.974647
22020	82897	50.969038	6.905304
22020	829452	50.883095	7.055610
22020	82970	50.888716	7.079927
22020	829719	50.867222	7.046297
22020	829732	50.939775	7.013520
22020	829741	50.949097	6.931331
22020	829815	51.004446	7.042934
22020	829992	50.979610	6.948323
22020	830082	50.912675	6.967767
22020	830189	50.960831	6.954408
22020	830219	50.960249	7.002980
22020	830487	50.933760	6.939848
22020	830534	50.962227	6.958514
22020	830580	50.890082	7.054716
22020	830615	50.863457	6.929158
22020	83068	50.963803	7.005253
22020	830722	50.887057	6.898522
22020	830775	51.019988	6.886799
22020	831590	50.938389	7.009769
22020	831741	50.963935	7.017238
22020	831743	50.936309	6.987240
22020	832073	50.929735	7.042510
22020	832128	50.967740	7.036108
22020	832134	50.862695	7.039823
22020	832265	50.980150	7.064154
22020	832430	50.968703	6.939989
